id;page;website_products;note;masked_note
6294a71596a1b9137031f8b1;http://www.sevitex.com/en/about-us/;It owns proprietary products named Sevitex.;The company Sevitex, always active in the production of linen intended for hotels, restaurants, caterings, sports clubs including spas & wellness centers, was established in 1969 by Raniero Sevi.;The company [MASK] , always active in the production of linen intended for hotels, restaurants, caterings, sports clubs including spas & wellness centers, was established in 1969 by Raniero Sevi.
6294a76c96a1b9137031feb4;http://www.sevitex.com/en/what-we-do/;It owns proprietary products named Sevitex.;Sevitex has made the selection of the best raw materials one of its strengths, keeping the quality standards at every stage of its production process and ensuring a high quality product that can guarantee over time with elegance, softness, strength.;[MASK] has made the selection of the best raw materials one of its strengths, keeping the quality standards at every stage of its production process and ensuring a high quality product that can guarantee over time with elegance, softness, strength.
6294a76c96a1b9137031feb4;http://www.sevitex.com/en/what-we-do/;It owns proprietary products named Sevitex.;It produces fabrics with Egyptian and Turkish cotton yarn, among the best in the world.;[MASK] produces fabrics with Egyptian and Turkish cargo on yarn, among the best in the world.
6294a76c96a1b9137031feb4;http://www.sevitex.com/en/what-we-do/;It owns proprietary products named Sevitex.;Sevitex, making use of properties looms, can perform at their best the complexity of the market requests.;[MASK] , making use of properties looms, can perform at their best the complexity of the market requests.
6294a76c96a1b9137031feb4;http://www.sevitex.com/en/what-we-do/;It owns proprietary products named Sevitex.;Sevitex customizes the products of its customers through wire embroidery.;[MASK] customizes the products of its customers through wire embroidery.
6294a8e996a1b9137031febf;https://rontis.gr/infant-baby-nutrition/?lang=en;It owns proprietary products named Rontamil.;The Rontamil infant nutrition product range offers solutions for the diet of infants who are not breastfed or/and were born by caesarean with high quality products that fully meet the nutritional needs of this particularly vulnerable age group.;The [MASK] infant nutrition product range offers solutions for the diet of infants who are not breastfed or/and were born by caesarean with high quality products that fully meet the nutritional needs of this particularly vulnerable age group.
6294ab6396a1b9137031fed2;https://www.studio10fashion.be/kopie-van-fabienne-chapot;It owns proprietary products names Frida, March23, Leeandme and Heartmind.;The Frida product is famous for its use of high quality and fine materials, very comfortable lasts and a good price-quality combination.;The [MASK] product is famous for its use of high quality and fine materials, very comfortable lasts and a good price-quality combination.
6294ab6396a1b9137031fed2;https://www.studio10fashion.be/kopie-van-fabienne-chapot;It owns proprietary products names Frida, March23, Leeandme and Heartmind.;The Frida is fashionable and fresh without being over the top.;The [MASK] is fashionable and fresh without being over the top.
6294ab7d96a1b9137031fed5;https://www.studio10fashion.be/kopie-van-just-eve;It owns proprietary products names Frida, March23, Leeandme and Heartmind.;Leeandme is a diverse fashion brand that offers you a range of in season must-have items but also eye-catching and trendy seasonal clothes.;[MASK] is a diverse fashion brand that offers you a range of in season must-have items but also eye-catching and trendy seasonal clothes.
6294ab9e96a1b9137031fed8;https://www.studio10fashion.be/kopie-van-leeandme;It owns proprietary products names Frida, March23, Leeandme and Heartmind.;March23 is a Belgian, contemporary shoe and clothing brand born on March 23, 2012.;[MASK] is a Belgian, contemporary shoe and clothing brand born on March 23, 2012.
6294abc796a1b9137031fedb;https://www.studio10fashion.be/kopie-van-coster;It owns proprietary products names Frida, March23, Leeandme and Heartmind.;Heart Mind is a belgian brand that bridges the gap between the passion of the heart and the sanity of the mind.;[MASK] is a belgian brand that bridges the gap between the passion of the heart and the sanity of the mind.
6294abc796a1b9137031fedb;https://www.studio10fashion.be/kopie-van-coster;It owns proprietary products names Frida, March23, Leeandme and Heartmind.;Heart Mind allows women to follow their heart, and have peace of mind.;[MASK] allows women to follow their heart, and have peace of mind.
6294ace496a1b9137031fee2;https://www.ateme.com/product-titan-software/;Further, it owns proprietary products.;With Ateme’s TITAN & KYRION video-processing solutions, from contribution to delivery, you offer your viewers a premium experience on any platform – DTH, DTT, cable-TV, IPTV and OTT.;With [MASK] video-processing solutions, from contribution to delivery, you offer your viewers a premium experience on any platform – DTH, DTT, cable-TV, IPTV and [MASK] .
6294ad1696a1b9137031fee5;https://www.ateme.com/product-video-content-delivery/;Further, it owns proprietary products.;With Ateme’s NEA solutions you can build a platform for streaming, OTT or IPTV services that captivates your audience with outstanding experiences – while unleashing monetization potential, reducing operational costs, and minimizing your carbon footprint.;With [MASK] solutions you can build a platform for streaming, [MASK] or IPTV services that captivates your audience with outstanding experiences – while unleashing monetization potential, reducing operational costs, and minimizing your carbon footprint.
